time,enc_pos_l,enc_pos_r,enc_vel_l,enc_vel_r,voltage,VPR,VRL
78.429944,-1,1,0,0,12.05,0.0,0.0
78.53070199999999,-1,1,0,0,12.0,0.0,0.0
78.598394,0,0,0,0,12.0,0.0,0.0
78.68075,12,-9,12,-9,11.4,-0.2991202346041056,0.2991202346041056
78.762939,35,-36,26,-36,11.4,-0.2991202346041056,0.2991202346041056
78.84337699999999,71,-77,42,-49,11.350000000000001,-0.2991202346041056,0.2991202346041056
78.924694,124,-132,64,-66,11.350000000000001,-0.2991202346041056,0.2991202346041056
79.009142,191,-216,81,-84,11.4,-0.2991202346041056,0.2991202346041056
79.08808499999999,265,-274,92,-94,11.4,-0.2991202346041056,0.2991202346041056
79.17819499999999,370,-383,105,-109,11.55,-0.2991202346041056,0.2991202346041056
79.255265,437,-475,110,-114,11.55,-0.2991202346041056,0.2991202346041056
79.335048,532,-573,120,-121,11.5,-0.2991202346041056,0.2991202346041056
79.419743,661,-678,129,-130,11.5,-0.2991202346041056,0.2991202346041056
79.498765,766,-786,132,-134,11.55,-0.2991202346041056,0.2991202346041056
79.58092199999999,877,-898,138,-139,11.55,-0.2991202346041056,0.2991202346041056
79.67003,990,-1012,140,-142,11.55,-0.2991202346041056,0.2991202346041056
79.746563,1106,-1128,144,-144,11.55,-0.2991202346041056,0.2991202346041056
79.83277399999999,1222,-1244,145,-146,11.600000000000001,-0.2991202346041056,0.2991202346041056
79.913337,1342,-1397,150,-153,11.600000000000001,-0.2991202346041056,0.2991202346041056
79.989429,1462,-1487,150,-151,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.06536299999999,1582,-1605,150,-148,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.14868799999999,1704,-1726,152,-150,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.245238,1859,-1881,155,-155,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.329462,1980,-2005,152,-155,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.402645,2103,-2130,153,-156,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.48606199999999,2225,-2254,153,-155,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.572181,2346,-2378,151,-155,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.659768,2500,-2534,154,-156,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.747351,2621,-2657,152,-154,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.82329,2745,-2782,154,-156,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.903089,2869,-2905,155,-155,11.600000000000001,-0.2991202346041056,0.2991202346041056
80.99433,2993,-3060,155,-155,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.075454,3115,-3182,153,-154,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.161709,3268,-3306,153,-154,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.24543299999999,3390,-3431,152,-156,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.32004299999998,3512,-3556,152,-156,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.400349,3634,-3679,152,-154,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.49006299999999,3754,-3802,150,-154,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.57990299999999,3903,-3956,149,-154,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.66414,4028,-4082,155,-157,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.74871300000001,4151,-4205,155,-155,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.83270900000001,4272,-4358,152,-153,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.916947,4431,-4486,159,-159,11.600000000000001,-0.2991202346041056,0.2991202346041056
81.998987,4555,-4613,156,-159,11.600000000000001,-0.2991202346041056,0.2991202346041056
82.08408499999999,4678,-4740,154,-158,11.600000000000001,-0.2991202346041056,0.2991202346041056
82.161408,4803,-4869,156,-161,11.600000000000001,-0.2991202346041056,0.2991202346041056
